Designator,Mid X,Mid Y,Rotation,Layer
BUZZER1,69.5,-55.5,0.0,bottom
C1,100.0,-85.0,0.0,top
C2,64.5,-52.0,90.0,top
CN1,68.0,-61.5,270.0,top
CN2,105.641293,-47.141193,315.0,top
CN3,112.5,-63.25,270.0,top
CN4,92.113772,-39.571972,350.0,top
CN5,76.234487,-42.558012,30.0,top
CN6,74.124564,-83.545464,145.0,top
CN7,89.25,-88.0,180.0,top
L1,77.25,-52.5,0.0,top
P1,77.07,-67.5,90.0,bottom
P2,99.93,-67.5,90.0,bottom
SW1,65.5,-71.5,270.0,top
SW2,107.5,-80.0,45.0,top
U1,72.05,-70.15,180.0,top
U2,88.64,-77.5,0.0,top
